# Fourier coefficients: function=Прямоугольный меандр N=1000
n,an,bn,amplitude
0,0.00000000,0,0.00000000
1,0.00000000,1.27323954,1.27323954
2,0.00000000,0.00000000,0.00000000
3,0.00000000,0.42441318,0.42441318
4,0.00000000,-0.00000000,0.00000000
5,0.00000000,0.25464791,0.25464791
6,0.00000000,-0.00000000,0.00000000
7,0.00000000,0.18189136,0.18189136
8,0.00000000,-0.00000000,0.00000000
9,0.00000000,0.14147106,0.14147106
10,0.00000000,0.00000000,0.00000000
11,0.00000000,0.11574905,0.11574905
12,0.00000000,-0.00000000,0.00000000
13,0.00000000,0.09794150,0.09794150
14,0.00000000,0.00000000,0.00000000
15,0.00000000,0.08488264,0.08488264
16,0.00000000,0.00000000,0.00000000
17,0.00000000,0.07489644,0.07489644
18,0.00000000,0.00000000,0.00000000
19,0.00000000,0.06701261,0.06701261
20,0.00000000,0.00000000,0.00000000
21,0.00000000,0.06063045,0.06063045
22,0.00000000,0.00000000,0.00000000
23,0.00000000,0.05535824,0.05535824
24,0.00000000,0.00000000,0.00000000
25,0.00000000,0.05092958,0.05092958
26,0.00000000,-0.00000000,0.00000000
27,0.00000000,0.04715702,0.04715702
28,0.00000000,-0.00000000,0.00000000
29,0.00000000,0.04390481,0.04390481
30,0.00000000,0.00000000,0.00000000
31,0.00000000,0.04107224,0.04107224
32,0.00000000,-0.00000000,0.00000000
33,0.00000000,0.03858302,0.03858302
34,0.00000000,-0.00000000,0.00000000
35,0.00000000,0.03637827,0.03637827
36,0.00000000,0.00000000,0.00000000
37,0.00000000,0.03441188,0.03441188
38,0.00000000,0.00000000,0.00000000
39,0.00000000,0.03264717,0.03264717
40,0.00000000,-0.00000000,0.00000000
41,0.00000000,0.03105462,0.03105462
42,0.00000000,0.00000000,0.00000000
43,0.00000000,0.02961022,0.02961022
44,0.00000000,0.00000000,0.00000000
45,0.00000000,0.02829421,0.02829421
46,0.00000000,-0.00000000,0.00000000
47,0.00000000,0.02709020,0.02709020
48,0.00000000,0.00000000,0.00000000
49,0.00000000,0.02598448,0.02598448
50,0.00000000,-0.00000000,0.00000000
51,0.00000000,0.02496548,0.02496548
52,0.00000000,0.00000000,0.00000000
53,0.00000000,0.02402339,0.02402339
54,0.00000000,0.00000000,0.00000000
55,0.00000000,0.02314981,0.02314981
56,0.00000000,-0.00000000,0.00000000
57,0.00000000,0.02233754,0.02233754
